43563	68
15618	38
31705	28
38971	95
47516	66
12299	54
47206	58
32966	97
34073	61
10143	70
46191	56
45775	78
25087	91
20142	29
14494	42
16409	71
44661	63
32546	95
19275	86
33977	36
44285	79
15689	89
49328	53
39976	23
16473	60
41891	63
14823	43
44817	30
32647	47
48637	40
46941	64
31892	39
17224	30
16264	30
48476	79
18561	36
39166	85
20963	46
26366	33
13170	29
27325	24
42211	96
24129	52
26026	58
19925	31
10401	70
31750	82
16235	86
45473	68
17312	22
24572	28
42512	66
25643	48
26719	28
45220	72
37097	80
17659	62
25290	38
11960	26
35840	49
43828	30
11648	42
20472	68
14167	39
44292	81
11615	40
12058	25
45809	79
10024	95
16685	93
27514	72
36201	84
23445	43
24336	64
21776	70
31019	47
15626	92
47922	27
30126	71
19196	61
12550	83
20617	33
47589	37
19143	90
15940	69
11293	74
44465	35
24520	65
48605	57
22880	56
10315	35
21025	81
27388	36
10080	23
40450	90
29840	29
18178	51
39412	90
24047	37
45309	41
